timestamp;nodeId;nodeX;nodeY;pressure;accuracy
1583771037501;VielberthGebaeude.1.60;335.00;349.00;970.367;3
1583771037601;VielberthGebaeude.1.60;335.00;349.00;970.367;3
1583771037702;VielberthGebaeude.1.60;335.00;349.00;970.364;3
1583771037804;VielberthGebaeude.1.60;335.00;349.00;970.359;3
1583771037905;VielberthGebaeude.1.60;335.00;349.00;970.359;3
1583771038006;VielberthGebaeude.1.60;335.00;349.00;970.367;3
1583771038108;VielberthGebaeude.1.60;335.00;349.00;970.367;3
1583771038209;VielberthGebaeude.1.60;335.00;349.00;970.360;3
1583771038309;VielberthGebaeude.1.60;335.00;349.00;970.360;3
1583771038410;VielberthGebaeude.1.60;335.00;349.00;970.363;3
1583771038510;VielberthGebaeude.1.60;335.00;349.00;970.363;3
1583771038610;VielberthGebaeude.1.60;335.00;349.00;970.361;3
1583771038710;VielberthGebaeude.1.60;335.00;349.00;970.353;3
1583771038811;VielberthGebaeude.1.60;335.00;349.00;970.353;3
1583771038910;VielberthGebaeude.1.60;335.00;349.00;970.360;3
1583771039010;VielberthGebaeude.1.60;335.00;349.00;970.360;3
1583771039113;VielberthGebaeude.1.60;335.00;349.00;970.366;3
1583771039215;VielberthGebaeude.1.60;335.00;349.00;970.366;3
1583771039314;VielberthGebaeude.1.60;335.00;349.00;970.361;3
1583771039415;VielberthGebaeude.1.60;335.00;349.00;970.361;3
1583771039516;VielberthGebaeude.1.60;335.00;349.00;970.362;3
1583771039616;VielberthGebaeude.1.60;335.00;349.00;970.367;3
1583771039717;VielberthGebaeude.1.60;335.00;349.00;970.367;3
1583771039819;VielberthGebaeude.1.60;335.00;349.00;970.364;3
1583771039918;VielberthGebaeude.1.60;335.00;349.00;970.364;3
1583771040020;VielberthGebaeude.1.60;335.00;349.00;970.373;3
1583771040122;VielberthGebaeude.1.60;335.00;349.00;970.373;3
1583771040223;VielberthGebaeude.1.60;335.00;349.00;970.361;3
1583771040324;VielberthGebaeude.1.60;335.00;349.00;970.361;3
1583771040426;VielberthGebaeude.1.60;335.00;349.00;970.354;3
1583771040527;VielberthGebaeude.1.60;335.00;349.00;970.349;3
1583771040627;VielberthGebaeude.1.60;335.00;349.00;970.349;3
1583771040729;VielberthGebaeude.1.60;335.00;349.00;970.330;3
1583771040829;VielberthGebaeude.1.60;335.00;349.00;970.330;3
1583771040928;VielberthGebaeude.1.60;335.00;349.00;970.317;3
1583771041030;VielberthGebaeude.1.60;335.00;349.00;970.317;3
1583771041130;VielberthGebaeude.1.60;335.00;349.00;970.325;3
1583771041231;VielberthGebaeude.1.60;335.00;349.00;970.325;3
1583771041332;VielberthGebaeude.1.60;335.00;349.00;970.326;3
1583771041432;VielberthGebaeude.1.60;335.00;349.00;970.335;3
1583771041535;VielberthGebaeude.1.60;335.00;349.00;970.335;3
1583771041634;VielberthGebaeude.1.60;335.00;349.00;970.343;3
1583771041735;VielberthGebaeude.1.60;335.00;349.00;970.343;3
1583771041837;VielberthGebaeude.1.60;335.00;349.00;970.350;3
1583771041936;VielberthGebaeude.1.60;335.00;349.00;970.350;3
1583771042036;VielberthGebaeude.1.60;335.00;349.00;970.365;3
1583771042139;VielberthGebaeude.1.60;335.00;349.00;970.365;3
1583771042238;VielberthGebaeude.1.60;335.00;349.00;970.367;3
1583771042339;VielberthGebaeude.1.60;335.00;349.00;970.363;3
1583771042441;VielberthGebaeude.1.60;335.00;349.00;970.363;3
1583771042543;VielberthGebaeude.1.60;335.00;349.00;970.367;3
1583771042647;VielberthGebaeude.1.60;335.00;349.00;970.367;3
1583771042748;VielberthGebaeude.1.60;335.00;349.00;970.377;3
1583771042848;VielberthGebaeude.1.60;335.00;349.00;970.377;3
