timestamp;nodeId;nodeX;nodeY;pressure;accuracy
1583770671720;VielberthGebaeude.1.56;989.00;311.00;970.188;3
1583770671820;VielberthGebaeude.1.56;989.00;311.00;970.193;3
1583770671920;VielberthGebaeude.1.56;989.00;311.00;970.193;3
1583770672024;VielberthGebaeude.1.56;989.00;311.00;970.200;3
1583770672126;VielberthGebaeude.1.56;989.00;311.00;970.200;3
1583770672227;VielberthGebaeude.1.56;989.00;311.00;970.209;3
1583770672327;VielberthGebaeude.1.56;989.00;311.00;970.211;3
1583770672429;VielberthGebaeude.1.56;989.00;311.00;970.211;3
1583770672536;VielberthGebaeude.1.56;989.00;311.00;970.199;3
1583770672639;VielberthGebaeude.1.56;989.00;311.00;970.199;3
1583770672738;VielberthGebaeude.1.56;989.00;311.00;970.184;3
1583770672839;VielberthGebaeude.1.56;989.00;311.00;970.184;3
1583770672941;VielberthGebaeude.1.56;989.00;311.00;970.188;3
1583770673042;VielberthGebaeude.1.56;989.00;311.00;970.188;3
1583770673145;VielberthGebaeude.1.56;989.00;311.00;970.196;3
1583770673246;VielberthGebaeude.1.56;989.00;311.00;970.208;3
1583770673348;VielberthGebaeude.1.56;989.00;311.00;970.208;3
1583770673449;VielberthGebaeude.1.56;989.00;311.00;970.199;3
1583770673549;VielberthGebaeude.1.56;989.00;311.00;970.199;3
1583770673649;VielberthGebaeude.1.56;989.00;311.00;970.199;3
1583770673750;VielberthGebaeude.1.56;989.00;311.00;970.199;3
1583770673850;VielberthGebaeude.1.56;989.00;311.00;970.215;3
1583770673951;VielberthGebaeude.1.56;989.00;311.00;970.215;3
1583770674051;VielberthGebaeude.1.56;989.00;311.00;970.229;3
1583770674151;VielberthGebaeude.1.56;989.00;311.00;970.224;3
1583770674252;VielberthGebaeude.1.56;989.00;311.00;970.224;3
1583770674351;VielberthGebaeude.1.56;989.00;311.00;970.210;3
1583770674452;VielberthGebaeude.1.56;989.00;311.00;970.210;3
1583770674552;VielberthGebaeude.1.56;989.00;311.00;970.197;3
1583770674652;VielberthGebaeude.1.56;989.00;311.00;970.197;3
1583770674752;VielberthGebaeude.1.56;989.00;311.00;970.204;3
1583770674853;VielberthGebaeude.1.56;989.00;311.00;970.204;3
1583770674954;VielberthGebaeude.1.56;989.00;311.00;970.215;3
1583770675054;VielberthGebaeude.1.56;989.00;311.00;970.209;3
1583770675155;VielberthGebaeude.1.56;989.00;311.00;970.209;3
1583770675255;VielberthGebaeude.1.56;989.00;311.00;970.208;3
1583770675356;VielberthGebaeude.1.56;989.00;311.00;970.208;3
1583770675456;VielberthGebaeude.1.56;989.00;311.00;970.213;3
1583770675556;VielberthGebaeude.1.56;989.00;311.00;970.213;3
1583770675656;VielberthGebaeude.1.56;989.00;311.00;970.210;3
1583770675759;VielberthGebaeude.1.56;989.00;311.00;970.210;3
1583770675858;VielberthGebaeude.1.56;989.00;311.00;970.212;3
1583770675960;VielberthGebaeude.1.56;989.00;311.00;970.210;3
1583770676060;VielberthGebaeude.1.56;989.00;311.00;970.210;3
1583770676160;VielberthGebaeude.1.56;989.00;311.00;970.215;3
1583770676260;VielberthGebaeude.1.56;989.00;311.00;970.215;3
1583770676360;VielberthGebaeude.1.56;989.00;311.00;970.226;3
1583770676461;VielberthGebaeude.1.56;989.00;311.00;970.226;3
1583770676561;VielberthGebaeude.1.56;989.00;311.00;970.226;3
1583770676661;VielberthGebaeude.1.56;989.00;311.00;970.226;3
1583770676761;VielberthGebaeude.1.56;989.00;311.00;970.218;3
1583770676862;VielberthGebaeude.1.56;989.00;311.00;970.219;3
1583770676962;VielberthGebaeude.1.56;989.00;311.00;970.219;3
1583770677062;VielberthGebaeude.1.56;989.00;311.00;970.216;3
1583770677162;VielberthGebaeude.1.56;989.00;311.00;970.216;3
1583770677265;VielberthGebaeude.1.56;989.00;311.00;970.210;3
1583770677365;VielberthGebaeude.1.56;989.00;311.00;970.210;3
1583770677467;VielberthGebaeude.1.56;989.00;311.00;970.211;3
1583770677568;VielberthGebaeude.1.56;989.00;311.00;970.211;3
1583770677669;VielberthGebaeude.1.56;989.00;311.00;970.213;3
1583770677773;VielberthGebaeude.1.56;989.00;311.00;970.210;3
1583770677873;VielberthGebaeude.1.56;989.00;311.00;970.210;3
1583770677975;VielberthGebaeude.1.56;989.00;311.00;970.216;3
1583770678076;VielberthGebaeude.1.56;989.00;311.00;970.216;3
1583770678177;VielberthGebaeude.1.56;989.00;311.00;970.215;3
1583770678277;VielberthGebaeude.1.56;989.00;311.00;970.215;3
1583770678377;VielberthGebaeude.1.56;989.00;311.00;970.217;3
1583770678480;VielberthGebaeude.1.56;989.00;311.00;970.217;3
1583770678581;VielberthGebaeude.1.56;989.00;311.00;970.217;3
1583770678681;VielberthGebaeude.1.56;989.00;311.00;970.196;3
1583770678783;VielberthGebaeude.1.56;989.00;311.00;970.196;3
1583770678884;VielberthGebaeude.1.56;989.00;311.00;970.180;3
1583770678984;VielberthGebaeude.1.56;989.00;311.00;970.180;3
1583770679084;VielberthGebaeude.1.56;989.00;311.00;970.187;3
1583770679184;VielberthGebaeude.1.56;989.00;311.00;970.187;3
1583770679284;VielberthGebaeude.1.56;989.00;311.00;970.193;3
1583770679386;VielberthGebaeude.1.56;989.00;311.00;970.193;3
1583770679486;VielberthGebaeude.1.56;989.00;311.00;970.206;3
1583770679587;VielberthGebaeude.1.56;989.00;311.00;970.214;3
1583770679688;VielberthGebaeude.1.56;989.00;311.00;970.214;3
1583770679790;VielberthGebaeude.1.56;989.00;311.00;970.217;3
1583770679890;VielberthGebaeude.1.56;989.00;311.00;970.217;3
1583770679990;VielberthGebaeude.1.56;989.00;311.00;970.218;3
1583770680093;VielberthGebaeude.1.56;989.00;311.00;970.218;3
1583770680194;VielberthGebaeude.1.56;989.00;311.00;970.220;3
1583770680294;VielberthGebaeude.1.56;989.00;311.00;970.220;3
1583770680395;VielberthGebaeude.1.56;989.00;311.00;970.212;3
1583770680495;VielberthGebaeude.1.56;989.00;311.00;970.215;3
1583770680596;VielberthGebaeude.1.56;989.00;311.00;970.215;3
1583770680695;VielberthGebaeude.1.56;989.00;311.00;970.211;3
1583770680796;VielberthGebaeude.1.56;989.00;311.00;970.211;3
1583770680897;VielberthGebaeude.1.56;989.00;311.00;970.197;3
1583770680997;VielberthGebaeude.1.56;989.00;311.00;970.197;3
1583770681098;VielberthGebaeude.1.56;989.00;311.00;970.205;3
1583770681198;VielberthGebaeude.1.56;989.00;311.00;970.205;3
1583770681300;VielberthGebaeude.1.56;989.00;311.00;970.218;3
1583770681400;VielberthGebaeude.1.56;989.00;311.00;970.228;3
1583770681499;VielberthGebaeude.1.56;989.00;311.00;970.228;3
1583770681601;VielberthGebaeude.1.56;989.00;311.00;970.222;3
1583770681702;VielberthGebaeude.1.56;989.00;311.00;970.222;3
1583770681804;VielberthGebaeude.1.56;989.00;311.00;970.221;3
1583770681905;VielberthGebaeude.1.56;989.00;311.00;970.221;3
1583770682005;VielberthGebaeude.1.56;989.00;311.00;970.218;3
1583770682105;VielberthGebaeude.1.56;989.00;311.00;970.218;3
1583770682205;VielberthGebaeude.1.56;989.00;311.00;970.223;3
1583770682306;VielberthGebaeude.1.56;989.00;311.00;970.221;3
1583770682407;VielberthGebaeude.1.56;989.00;311.00;970.221;3
1583770682506;VielberthGebaeude.1.56;989.00;311.00;970.230;3
1583770682607;VielberthGebaeude.1.56;989.00;311.00;970.230;3
1583770682707;VielberthGebaeude.1.56;989.00;311.00;970.217;3
1583770682808;VielberthGebaeude.1.56;989.00;311.00;970.217;3
1583770682907;VielberthGebaeude.1.56;989.00;311.00;970.225;3
1583770683006;VielberthGebaeude.1.56;989.00;311.00;970.225;3
1583770683109;VielberthGebaeude.1.56;989.00;311.00;970.227;3
1583770683209;VielberthGebaeude.1.56;989.00;311.00;970.230;3
1583770683310;VielberthGebaeude.1.56;989.00;311.00;970.230;3
1583770683411;VielberthGebaeude.1.56;989.00;311.00;970.229;3
1583770683511;VielberthGebaeude.1.56;989.00;311.00;970.229;3
1583770683611;VielberthGebaeude.1.56;989.00;311.00;970.227;3
1583770683711;VielberthGebaeude.1.56;989.00;311.00;970.227;3
1583770683811;VielberthGebaeude.1.56;989.00;311.00;970.206;3
1583770683911;VielberthGebaeude.1.56;989.00;311.00;970.206;3
1583770684011;VielberthGebaeude.1.56;989.00;311.00;970.202;3
1583770684111;VielberthGebaeude.1.56;989.00;311.00;970.196;3
1583770684212;VielberthGebaeude.1.56;989.00;311.00;970.196;3
1583770684312;VielberthGebaeude.1.56;989.00;311.00;970.194;3
1583770684414;VielberthGebaeude.1.56;989.00;311.00;970.194;3
1583770684517;VielberthGebaeude.1.56;989.00;311.00;970.183;3
1583770684618;VielberthGebaeude.1.56;989.00;311.00;970.183;3
1583770684718;VielberthGebaeude.1.56;989.00;311.00;970.193;3
1583770684821;VielberthGebaeude.1.56;989.00;311.00;970.193;3
1583770684921;VielberthGebaeude.1.56;989.00;311.00;970.200;3
1583770685021;VielberthGebaeude.1.56;989.00;311.00;970.212;3
1583770685122;VielberthGebaeude.1.56;989.00;311.00;970.212;3
1583770685221;VielberthGebaeude.1.56;989.00;311.00;970.221;3
1583770685321;VielberthGebaeude.1.56;989.00;311.00;970.221;3
1583770685421;VielberthGebaeude.1.56;989.00;311.00;970.235;3
1583770685522;VielberthGebaeude.1.56;989.00;311.00;970.235;3
1583770685622;VielberthGebaeude.1.56;989.00;311.00;970.229;3
1583770685723;VielberthGebaeude.1.56;989.00;311.00;970.229;3
1583770685823;VielberthGebaeude.1.56;989.00;311.00;970.244;3
1583770685924;VielberthGebaeude.1.56;989.00;311.00;970.235;3
1583770686025;VielberthGebaeude.1.56;989.00;311.00;970.235;3
1583770686125;VielberthGebaeude.1.56;989.00;311.00;970.229;3
1583770686225;VielberthGebaeude.1.56;989.00;311.00;970.229;3
1583770686326;VielberthGebaeude.1.56;989.00;311.00;970.209;3
1583770686425;VielberthGebaeude.1.56;989.00;311.00;970.209;3
1583770686525;VielberthGebaeude.1.56;989.00;311.00;970.209;3
1583770686626;VielberthGebaeude.1.56;989.00;311.00;970.209;3
1583770686726;VielberthGebaeude.1.56;989.00;311.00;970.201;3
1583770686828;VielberthGebaeude.1.56;989.00;311.00;970.202;3
1583770686928;VielberthGebaeude.1.56;989.00;311.00;970.202;3
1583770687029;VielberthGebaeude.1.56;989.00;311.00;970.196;3
1583770687129;VielberthGebaeude.1.56;989.00;311.00;970.196;3
1583770687230;VielberthGebaeude.1.56;989.00;311.00;970.202;3
1583770687329;VielberthGebaeude.1.56;989.00;311.00;970.202;3
1583770687429;VielberthGebaeude.1.56;989.00;311.00;970.203;3
1583770687529;VielberthGebaeude.1.56;989.00;311.00;970.203;3
1583770687631;VielberthGebaeude.1.56;989.00;311.00;970.213;3
1583770687732;VielberthGebaeude.1.56;989.00;311.00;970.217;3
1583770687833;VielberthGebaeude.1.56;989.00;311.00;970.217;3
1583770687935;VielberthGebaeude.1.56;989.00;311.00;970.219;3
1583770688035;VielberthGebaeude.1.56;989.00;311.00;970.219;3
1583770688136;VielberthGebaeude.1.56;989.00;311.00;970.219;3
1583770688237;VielberthGebaeude.1.56;989.00;311.00;970.219;3
1583770688337;VielberthGebaeude.1.56;989.00;311.00;970.221;3
1583770688438;VielberthGebaeude.1.56;989.00;311.00;970.221;3
1583770688539;VielberthGebaeude.1.56;989.00;311.00;970.214;3
1583770688640;VielberthGebaeude.1.56;989.00;311.00;970.201;3
1583770688741;VielberthGebaeude.1.56;989.00;311.00;970.201;3
1583770688841;VielberthGebaeude.1.56;989.00;311.00;970.199;3
1583770688944;VielberthGebaeude.1.56;989.00;311.00;970.199;3
1583770689043;VielberthGebaeude.1.56;989.00;311.00;970.192;3
1583770689145;VielberthGebaeude.1.56;989.00;311.00;970.192;3
1583770689246;VielberthGebaeude.1.56;989.00;311.00;970.189;3
1583770689347;VielberthGebaeude.1.56;989.00;311.00;970.189;3
1583770689448;VielberthGebaeude.1.56;989.00;311.00;970.195;3
1583770689548;VielberthGebaeude.1.56;989.00;311.00;970.191;3
1583770689649;VielberthGebaeude.1.56;989.00;311.00;970.191;3
1583770689749;VielberthGebaeude.1.56;989.00;311.00;970.196;3
1583770689850;VielberthGebaeude.1.56;989.00;311.00;970.196;3
1583770689951;VielberthGebaeude.1.56;989.00;311.00;970.211;3
1583770690051;VielberthGebaeude.1.56;989.00;311.00;970.211;3
1583770690151;VielberthGebaeude.1.56;989.00;311.00;970.217;3
1583770690252;VielberthGebaeude.1.56;989.00;311.00;970.217;3
1583770690351;VielberthGebaeude.1.56;989.00;311.00;970.224;3
1583770690453;VielberthGebaeude.1.56;989.00;311.00;970.221;3
1583770690553;VielberthGebaeude.1.56;989.00;311.00;970.221;3
1583770690654;VielberthGebaeude.1.56;989.00;311.00;970.220;3
1583770690756;VielberthGebaeude.1.56;989.00;311.00;970.220;3
1583770690856;VielberthGebaeude.1.56;989.00;311.00;970.213;3
1583770690956;VielberthGebaeude.1.56;989.00;311.00;970.213;3
1583770691056;VielberthGebaeude.1.56;989.00;311.00;970.222;3
1583770691156;VielberthGebaeude.1.56;989.00;311.00;970.222;3
1583770691256;VielberthGebaeude.1.56;989.00;311.00;970.219;3
1583770691357;VielberthGebaeude.1.56;989.00;311.00;970.220;3
1583770691458;VielberthGebaeude.1.56;989.00;311.00;970.220;3
1583770691559;VielberthGebaeude.1.56;989.00;311.00;970.214;3
1583770691659;VielberthGebaeude.1.56;989.00;311.00;970.214;3
1583770691760;VielberthGebaeude.1.56;989.00;311.00;970.223;3
1583770691860;VielberthGebaeude.1.56;989.00;311.00;970.223;3
1583770691962;VielberthGebaeude.1.56;989.00;311.00;970.220;3
1583770692063;VielberthGebaeude.1.56;989.00;311.00;970.220;3
1583770692166;VielberthGebaeude.1.56;989.00;311.00;970.225;3
1583770692265;VielberthGebaeude.1.56;989.00;311.00;970.220;3
1583770692366;VielberthGebaeude.1.56;989.00;311.00;970.220;3
1583770692467;VielberthGebaeude.1.56;989.00;311.00;970.216;3
1583770692567;VielberthGebaeude.1.56;989.00;311.00;970.216;3
1583770692668;VielberthGebaeude.1.56;989.00;311.00;970.216;3
1583770692769;VielberthGebaeude.1.56;989.00;311.00;970.216;3
1583770692870;VielberthGebaeude.1.56;989.00;311.00;970.215;3
1583770692970;VielberthGebaeude.1.56;989.00;311.00;970.215;3
1583770693072;VielberthGebaeude.1.56;989.00;311.00;970.219;3
1583770693173;VielberthGebaeude.1.56;989.00;311.00;970.223;3
1583770693273;VielberthGebaeude.1.56;989.00;311.00;970.223;3
1583770693375;VielberthGebaeude.1.56;989.00;311.00;970.235;3
1583770693477;VielberthGebaeude.1.56;989.00;311.00;970.235;3
1583770693578;VielberthGebaeude.1.56;989.00;311.00;970.227;3
1583770693679;VielberthGebaeude.1.56;989.00;311.00;970.227;3
1583770693782;VielberthGebaeude.1.56;989.00;311.00;970.228;3
1583770693882;VielberthGebaeude.1.56;989.00;311.00;970.228;3
1583770693982;VielberthGebaeude.1.56;989.00;311.00;970.236;3
1583770694084;VielberthGebaeude.1.56;989.00;311.00;970.234;3
1583770694184;VielberthGebaeude.1.56;989.00;311.00;970.234;3
